generation,generated_at,source_last_issue,source_last_draw_date,validation_draws,validation_period_start,validation_period_end,ensemble_logloss,uniform_logloss,improvement_vs_uniform,edge_status,top1_straight_hit_rate,top20_straight_hit_rate,weight_frequency,weight_markov,weight_logreg,weight_extra_trees
1,2026-08-22T07:19:14+09:00,7054,2026-08-21,1000,2022-10-06,2026-08-21,2.307533518775077,2.302585092994046,-0.004948425781031,not_confirmed,0.001,0.021,0.1867880772130744,0.2875431661600632,0.002777506150571,0.5228912504762913
3,2026-08-24T20:27:07+09:00,7055,2026-08-24,700,2023-12-05,2026-08-24,2.304303234894955,2.302585092994046,-0.0017181419009091,not_confirmed,0.0014285714285714,0.0285714285714285,0.3064167460318829,0.2985232813200993,0.058402711922989,0.3366572607250287
3,2026-08-25T20:26:06+09:00,7056,2026-08-25,700,2023-12-06,2026-08-25,2.304058553713717,2.302585092994046,-0.0014734607196715,not_confirmed,0.0014285714285714,0.0314285714285714,0.3098181558399324,0.3035042901739588,0.0573963423846652,0.3292812116014437
3,2026-08-26T20:28:34+09:00,7057,2026-08-26,700,2023-12-07,2026-08-26,2.3043592675882336,2.302585092994046,-0.0017741745941877,not_confirmed,0.0028571428571428,0.0285714285714285,0.3087696362182506,0.2993177374926613,0.0560231349461527,0.3358894913429353
3,2026-08-31T00:11:00+09:00,7059,2026-08-28,700,2023-12-11,2026-08-28,2.3043639797372246,2.302585092994046,-0.0017788867431787,not_confirmed,0.0028571428571428,0.0285714285714285,0.3112054579686727,0.3021136834900966,0.056752184405771,0.3299286741354595
3,2026-09-01T02:53:30+09:00,7060,2026-08-31,700,2023-12-12,2026-08-31,2.3044555033594225,2.302585092994046,-0.0018704103653766,not_confirmed,0.0014285714285714,0.03,0.3152806922749508,0.3045474024170629,0.0570406727192943,0.3231312325886919
3,2026-09-02T10:58:47+09:00,7061,2026-09-01,700,2023-12-13,2026-09-01,2.304271794443959,2.302585092994046,-0.0016867014499131,not_confirmed,0.0028571428571428,0.03,0.311151131492119,0.300244083705209,0.056871588525942,0.3317331962767298
3,2026-09-02T23:59:35+09:00,7062,2026-09-02,700,2023-12-14,2026-09-02,2.3043186370118147,2.302585092994046,-0.0017335440177688177,not_confirmed,0.0014285714285714286,0.024285714285714285,0.3173047653173635,0.3070569195227392,0.05611855825885177,0.31951975690104556
