experiment_no,experiment_id,generated_at,dataset_fingerprint,champion_before,challenger_id,challenger_config_json,dev_champion_exact_nll,dev_challenger_exact_nll,dev_improvement,folds_won,worst_fold_regression,confirmation_run,confirmation_passed,audit_champion_exact_nll,audit_challenger_exact_nll,audit_improvement_report_only,decision,reason,champion_after
11,exp-0000011-44bd52946598,2026-08-22T12:27:39+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-44bd52946598,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 180, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.915516957495832,-0.0023676524076821,0,0.0035436338003593,False,False,6.919173646423948,6.926480716765224,-0.0073070703412758,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
12,exp-0000012-b4fbafff873b,2026-08-22T12:27:53+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-b4fbafff873b,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 4, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.922696878059895,-0.0095475729717451,0,0.0169826623445903,False,False,6.919173646423948,6.92525157869277,-0.0060779322688224,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
13,exp-0000013-03981061c17e,2026-08-22T12:28:05+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-03981061c17e,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1000, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.924860155868916,-0.0117108507807657,0,0.0140582891964333,False,False,6.919173646423948,6.92189071882161,-0.0027170723976617,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
14,exp-0000014-540912cbfa7a,2026-08-22T12:28:15+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-540912cbfa7a,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 2000, ""tree_estimators"": 180, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.915307748782322,-0.0021584436941717,0,0.0033123484261334,False,False,6.919173646423948,6.92451505807192,-0.0053414116479721,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
15,exp-0000015-a5d5e1ac1ea1,2026-08-22T12:28:26+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-a5d5e1ac1ea1,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 750, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 4, ""validation_draws"": 1000, ""weight_temperature"": 0.02}",6.91314930508815,6.924452584628781,-0.0113032795406313,0,0.0162803060819216,False,False,6.919173646423948,6.921314028613587,-0.0021403821896388,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
16,exp-0000016-0300f2279f1d,2026-08-22T12:28:37+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-0300f2279f1d,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 2000, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 500, ""tree_estimators"": 240, ""tree_min_leaf"": 4, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.930828642496459,-0.0176793374083086,0,0.0337227957621708,False,False,6.919173646423948,6.925773556921145,-0.0065999104971972,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
17,exp-0000017-7d7e2069362d,2026-08-22T12:28:48+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-7d7e2069362d,"{""evolution_rate"": 0.55, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.55, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.912735720643666,0.0004135844444839,2,0.0005278430669095,False,False,6.919173646423948,6.920634630200238,-0.0014609837762904,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
18,exp-0000018-1a46fbc8c407,2026-08-22T12:28:58+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-1a46fbc8c407,"{""evolution_rate"": 0.7, ""frequency_profile"": ""medium"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 120, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.917707503685893,-0.0045581985977429,0,0.0090537799694683,False,False,6.919173646423948,6.928329206011031,-0.0091555595870831,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
19,exp-0000019-1f969b3c461e,2026-08-22T12:29:07+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-1f969b3c461e,"{""evolution_rate"": 1.0, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.25, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.912774156173932,0.0003751489142178,3,0.0,False,False,6.919173646423948,6.922081332000192,-0.0029076855762442,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
20,exp-0000020-46184b2c9ede,2026-08-22T12:29:17+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-46184b2c9ede,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.1, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.912911175809177,0.0002381292789728,3,0.0,False,False,6.919173646423948,6.921736712483991,-0.002563066060043,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
